d3mIndex,image,bounding_box
0,2016-09-22__10-33-33-126.jpg,"1802,1583,1802,1719,1944,1719,1944,1583"
0,2016-09-22__10-33-33-126.jpg,"1759,2348,1759,2544,1969,2544,1969,2348"
0,2016-09-22__10-33-33-126.jpg,"1727,2830,1727,3012,1841,3012,1841,2830"
1,2016-09-26__13-04-01-806.jpg,"5,376,5,573,130,573,130,376"
2,2016-09-26__13-12-31-474.jpg,"962,394,962,569,1062,569,1062,394"
2,2016-09-26__13-12-31-474.jpg,"869,1523,869,1673,966,1673,966,1523"
3,2016-09-28__12-58-54-306.jpg,"1212,40,1212,337,1352,337,1352,40"
3,2016-09-28__12-58-54-306.jpg,"1259,1380,1259,1533,1323,1533,1323,1380"
3,2016-09-28__12-58-54-306.jpg,"1298,1537,1298,1683,1380,1683,1380,1537"
3,2016-09-28__12-58-54-306.jpg,"1327,2401,1327,2590,1423,2590,1423,2401"
3,2016-09-28__12-58-54-306.jpg,"1144,2526,1144,2644,1241,2644,1241,2526"
3,2016-09-28__12-58-54-306.jpg,"1319,3137,1319,3296,1395,3296,1395,3137"
4,2016-09-29__11-13-56-793.jpg,"852,469,852,655,1048,655,1048,469"
4,2016-09-29__11-13-56-793.jpg,"816,1937,816,2137,987,2137,987,1937"
4,2016-09-29__11-13-56-793.jpg,"837,3058,837,3215,930,3215,930,3058"
5,2016-09-29__12-03-14-473.jpg,"84,2294,84,2394,234,2394,234,2294"
5,2016-09-29__12-03-14-473.jpg,"391,2194,391,2326,534,2326,534,2194"
5,2016-09-29__12-03-14-473.jpg,"252,2665,252,2819,412,2819,412,2665"
5,2016-09-29__12-03-14-473.jpg,"409,2865,409,3008,527,3008,527,2865"
5,2016-09-29__12-03-14-473.jpg,"502,3055,502,3205,587,3205,587,3055"
5,2016-09-29__12-03-14-473.jpg,"1944,3030,1944,3280,2119,3280,2119,3030"
5,2016-09-29__12-03-14-473.jpg,"2191,2751,2191,2973,2359,2973,2359,2751"
5,2016-09-29__12-03-14-473.jpg,"2116,2548,2116,2708,2273,2708,2273,2548"
5,2016-09-29__12-03-14-473.jpg,"1984,2469,1984,2619,2077,2619,2077,2469"
5,2016-09-29__12-03-14-473.jpg,"2194,1808,2194,1962,2337,1962,2337,1808"
5,2016-09-29__12-03-14-473.jpg,"2109,1294,2109,1412,2227,1412,2227,1294"
5,2016-09-29__12-03-14-473.jpg,"2102,1533,2102,1687,2216,1687,2216,1533"
5,2016-09-29__12-03-14-473.jpg,"2098,808,2098,994,2230,994,2230,808"
5,2016-09-29__12-03-14-473.jpg,"1919,880,1919,1033,2019,1033,2019,880"
5,2016-09-29__12-03-14-473.jpg,"2184,658,2184,783,2312,783,2312,658"
5,2016-09-29__12-03-14-473.jpg,"2273,819,2273,933,2391,933,2391,819"
6,2016-09-30__10-22-48-964.jpg,"298,1983,298,2137,487,2137,487,1983"
6,2016-09-30__10-22-48-964.jpg,"59,2262,59,2508,284,2508,284,2262"
6,2016-09-30__10-22-48-964.jpg,"16,2676,16,2915,298,2915,298,2676"
6,2016-09-30__10-22-48-964.jpg,"405,2723,405,2940,516,2940,516,2723"
6,2016-09-30__10-22-48-964.jpg,"2359,2858,2359,3150,2472,3150,2472,2858"
6,2016-09-30__10-22-48-964.jpg,"405,2948,405,3087,502,3087,502,2948"
6,2016-09-30__10-22-48-964.jpg,"734,2662,734,2805,834,2805,834,2662"
6,2016-09-30__10-22-48-964.jpg,"712,2062,712,2158,794,2158,794,2062"
6,2016-09-30__10-22-48-964.jpg,"409,1665,409,1833,512,1833,512,1665"
7,2016-09-30__10-27-33-770.jpg,"44,723,44,915,159,915,159,723"
7,2016-09-30__10-27-33-770.jpg,"2030,737,2030,890,2280,890,2280,737"
7,2016-09-30__10-27-33-770.jpg,"1862,3115,1862,3273,1998,3273,1998,3115"
8,2016-09-30__10-53-36-421.jpg,"1362,1848,1362,2133,1627,2133,1627,1848"
9,2016-09-30__13-05-27-634.jpg,"48,1558,48,1812,352,1812,352,1558"
9,2016-09-30__13-05-27-634.jpg,"437,1748,437,2008,641,2008,641,1748"
9,2016-09-30__13-05-27-634.jpg,"9,2219,9,2498,230,2498,230,2219"
9,2016-09-30__13-05-27-634.jpg,"269,3133,269,3294,523,3294,523,3133"
9,2016-09-30__13-05-27-634.jpg,"209,190,209,465,502,465,502,190"
9,2016-09-30__13-05-27-634.jpg,"305,765,305,858,466,858,466,765"
10,2016-09-30__13-08-58-393.jpg,"91,258,91,494,262,494,262,258"
10,2016-09-30__13-08-58-393.jpg,"144,176,144,287,237,287,237,176"
10,2016-09-30__13-08-58-393.jpg,"12,1305,12,1494,173,1494,173,1305"
10,2016-09-30__13-08-58-393.jpg,"55,2180,55,2348,223,2348,223,2180"
10,2016-09-30__13-08-58-393.jpg,"77,2812,77,3001,209,3001,209,2812"
10,2016-09-30__13-08-58-393.jpg,"5,3087,5,3240,91,3240,91,3087"
10,2016-09-30__13-08-58-393.jpg,"2073,694,2073,805,2237,805,2237,694"
10,2016-09-30__13-08-58-393.jpg,"2209,1637,2209,1769,2412,1769,2412,1637"
10,2016-09-30__13-08-58-393.jpg,"1980,1926,1980,2140,2152,2140,2152,1926"
10,2016-09-30__13-08-58-393.jpg,"1677,1776,1677,1869,1791,1869,1791,1776"
10,2016-09-30__13-08-58-393.jpg,"2180,2108,2180,2394,2352,2394,2352,2108"
11,2016-10-03__11-20-02-684.jpg,"394,51,394,173,548,173,548,51"
11,2016-10-03__11-20-02-684.jpg,"648,101,648,273,862,273,862,101"
11,2016-10-03__11-20-02-684.jpg,"984,258,984,465,1159,465,1159,258"
11,2016-10-03__11-20-02-684.jpg,"709,1255,709,1465,894,1465,894,1255"
11,2016-10-03__11-20-02-684.jpg,"773,2694,773,2923,891,2923,891,2694"
11,2016-10-03__11-20-02-684.jpg,"580,2651,580,2758,662,2758,662,2651"
12,2016-10-03__12-01-10-815.jpg,"1748,194,1748,451,1930,451,1930,194"
12,2016-10-03__12-01-10-815.jpg,"1459,1526,1459,1758,1637,1758,1637,1526"
12,2016-10-03__12-01-10-815.jpg,"1594,1883,1594,2119,1809,2119,1809,1883"
12,2016-10-03__12-01-10-815.jpg,"1541,2898,1541,3119,1659,3119,1659,2898"
12,2016-10-03__12-01-10-815.jpg,"1505,3083,1505,3296,1679,3296,1679,3083"
13,2016-10-03__12-02-47-591.jpg,"187,494,187,762,394,762,394,494"
13,2016-10-03__12-02-47-591.jpg,"12,2762,12,2923,212,2923,212,2762"
